"","i","Coefficients (1)","NeweyWest SE (1)","Coefficients (2)","NeweyWest SE (2)","Coefficients (3)","NeweyWest SE (3)","Coefficients (4)","NeweyWest SE (4)","Coefficients (5)","NeweyWest SE (5)","Coefficients (6)","NeweyWest SE (6)","Coefficients (7)","NeweyWest SE (7)","Coefficients (8)","NeweyWest SE (8)"
"(Intercept)",1,0.0252614759507577,0.00279628206465649,0.0252670316594672,0.00308396143800931,0.0250277952396972,0.00319104032426877,0.0225734515471172,0.00278323624290794,0.0218150618998471,0.00278572062673938,0.0205675154144404,0.00255274308027672,0.0206802173451695,0.00217401929115013,0.0175846468335609,0.00202623416143307
"lnRate.Diff",2,0.0961578352634377,0.0817579601483338,0.0865000958790891,0.0739694448598356,0.0217337136763463,0.0702479850384112,0.0612112809187901,0.0755988846736853,0.0552156162287585,0.0729258069699786,0.0707453381349936,0.07212100408561,0.0479767666939032,0.0715117760102875,0.0582311978453875,0.0645144015983998
"shift(lnRate.Diff, n = 1, fill = NA, type = ""lag"")",3,0.00646811031478459,0.104315943587172,0.0185677709855745,0.0985262029531734,0.0102828292854727,0.0985081518224476,-0.0480950799007432,0.103113426449926,-0.032290453904161,0.0979060008087856,-0.0387466983945306,0.0944881568185648,-0.0337838506989795,0.0917073740431975,-0.0352861956852151,0.0968255562475185
"shift(lnRate.Diff, n = 2, fill = NA, type = ""lag"")",4,NA,NA,-0.0356014621607894,0.0578471708003098,-0.012909225445039,0.0599489000362806,0.0266445535288841,0.0599244205041687,-0.0104180986051197,0.0632776937692216,0.0123397750972564,0.0574767841223597,-0.0017153644059725,0.0645079854268708,0.035913630516037,0.0600893127228331
"shift(lnRate.Diff, n = 3, fill = NA, type = ""lag"")",5,NA,NA,NA,NA,-0.021379140137268,0.0478363701911736,-0.00336273240285064,0.0421797808663114,0.00690452872244531,0.0414600017506311,-0.0190916795213295,0.045816799541242,-0.0101271931000334,0.0542075704766589,-0.0202347829455774,0.0527182708741481
"shift(lnRate.Diff, n = 4, fill = NA, type = ""lag"")",6,NA,NA,NA,NA,NA,NA,0.136894662096154,0.0636223835988857,0.147932321884873,0.0629894321904222,0.169858692797169,0.0458767803438838,0.109351968847038,0.0550522564107289,0.162007598170334,0.0495002750139177
"shift(lnRate.Diff, n = 5, fill = NA, type = ""lag"")",7,NA,NA,NA,NA,NA,NA,NA,NA,0.0345191386788034,0.0372120724638226,0.0419090156609406,0.0423041866482893,0.034720347984454,0.0429864607322348,0.0219127073859435,0.0496366341654054
"shift(lnRate.Diff, n = 6, fill = NA, type = ""lag"")",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0647205460910706,0.0518237828292502,0.075129243609427,0.0534459205940365,0.139680900156952,0.0442492953796493
"shift(lnRate.Diff, n = 7, fill = NA, type = ""lag"")",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0212042819349666,0.0442029476897885,-0.0165331812578529,0.0398428163070874
"shift(lnRate.Diff, n = 8, fill = NA, type = ""lag"")",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186973462923862,0.0407960060623368
