LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
MEX,Mexico,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1993-Q1,Q1-1993,MXN,Mexican Peso,6,millions,,,380710.1595,,
MEX,Mexico,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1993-Q2,Q2-1993,MXN,Mexican Peso,6,millions,,,386624.0175,,
MEX,Mexico,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1993-Q3,Q3-1993,MXN,Mexican Peso,6,millions,,,390564.531,,
MEX,Mexico,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1993-Q4,Q4-1993,MXN,Mexican Peso,6,millions,,,412247.877,,
MEX,Mexico,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1994-Q1,Q1-1994,MXN,Mexican Peso,6,millions,,,423955.4225,,
MEX,Mexico,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1994-Q2,Q2-1994,MXN,Mexican Peso,6,millions,,,441977.5465,,
MEX,Mexico,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1994-Q3,Q3-1994,MXN,Mexican Peso,6,millions,,,443791.21325,,
MEX,Mexico,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1994-Q4,Q4-1994,MXN,Mexican Peso,6,millions,,,470029.32625,,
MEX,Mexico,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1995-Q1,Q1-1995,MXN,Mexican Peso,6,millions,,,485983.57275,,
MEX,Mexico,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1995-Q2,Q2-1995,MXN,Mexican Peso,6,millions,,,531030.44925,,
MEX,Mexico,B1_GA,Gross domestic product at market prices - output approach,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1995-Q3,Q3-1995,MXN,Mexican Peso,6,millions,,,559869.7335,,
