"","CET","Max.TemperatureC","Mean.TemperatureC","Min.TemperatureC","Dew.PointC","MeanDew.PointC","Min.DewpointC","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressurehPa","Mean.Sea.Level.PressurehPa","Min.Sea.Level.PressurehPa","Max.VisibilityKm","Mean.VisibilityKm","Min.VisibilitykM","Max.Wind.SpeedKm.h","Mean.Wind.SpeedKm.h","Max.Gust.SpeedKm.h","Precipitationmm","CloudCover","Events","WindDirDegrees"
"1",1996-07-01,16,13,12,11,10,7,94,81,59,1009,1007,1006,10,10,10,34,23,48,0,5,"",243
"2",1996-07-02,16,13,11,12,10,9,94,85,68,1011,1009,1007,10,10,10,132,24,NA,0,5,"Rain",233
"3",1996-07-03,21,16,11,15,11,9,94,77,53,1012,1010,1006,10,10,10,35,14,52,0,6,"",199
"4",1996-07-04,20,17,14,15,13,10,100,84,52,1011,1007,1005,10,8,3,37,23,NA,0,6,"Rain",234
"5",1996-07-05,14,13,12,13,12,10,100,92,82,1011,1008,1006,10,7,4,11,6,NA,0,6,"Rain",243
"6",1996-07-06,16,13,10,12,11,9,100,93,72,1010,1008,1007,10,9,5,19,10,NA,0,6,"Rain-Hail",235
"7",1996-07-07,17,12,8,11,9,8,100,75,63,1010,1009,1007,10,9,6,14,5,NA,0,5,"",344
"8",1996-07-08,16,12,9,11,9,8,93,81,63,1023,1016,1011,10,9,4,19,10,NA,0,3,"",331
"9",1996-07-09,18,13,9,13,11,8,100,86,68,1023,1023,1022,10,8,4,21,11,NA,0,5,"Rain",246
"10",1996-07-10,16,14,13,14,13,11,100,89,77,1025,1022,1020,10,8,3,16,11,NA,0,6,"Rain",297
"11",1996-07-11,24,18,12,17,15,11,100,78,65,1025,1023,1021,10,9,8,11,8,NA,0,4,"",250
"12",1996-07-12,23,18,13,17,15,12,100,80,65,1019,1019,1018,10,8,4,16,11,NA,0,4,"",242
"13",1996-07-13,22,18,14,16,15,13,100,84,69,1023,1021,1020,10,9,4,21,14,NA,0,5,"",231
"14",1996-07-14,22,18,15,17,16,14,100,85,73,1027,1026,1024,10,10,10,21,13,NA,0,6,"",266
"15",1996-07-15,22,18,14,17,14,10,100,80,53,1029,1027,1026,9,5,1,19,10,NA,0,6,"",20
"16",1996-07-16,20,14,9,10,9,8,94,73,52,1031,1030,1028,10,10,10,24,16,42,0,3,"",37
"17",1996-07-17,21,14,8,11,9,8,100,74,49,1029,1028,1025,10,9,8,21,13,NA,0,3,"",38
"18",1996-07-18,21,14,9,10,9,8,94,69,46,1026,1025,1024,10,10,10,16,8,NA,0,1,"",12
"19",1996-07-19,21,14,8,12,10,8,100,73,49,1027,1026,1025,9,7,6,13,10,NA,0,3,"",43
"20",1996-07-20,25,18,11,12,10,8,88,58,38,1025,1025,1024,10,10,10,8,5,NA,0,1,"",74
"21",1996-07-21,28,21,15,13,11,8,77,53,39,1024,1023,1022,NA,NA,NA,19,6,NA,0,NA,"",196
"22",1996-07-22,28,21,14,12,11,10,82,52,35,1022,1020,1017,NA,NA,NA,14,8,NA,0,NA,"",151
"23",1996-07-23,29,23,17,18,14,10,77,57,41,1016,1011,1009,10,10,10,37,19,55,0,5,"",206
"24",1996-07-24,17,14,13,15,13,12,94,91,77,1016,1013,1011,10,8,4,23,16,NA,0,6,"Rain",257
"25",1996-07-25,14,13,12,14,13,11,100,96,94,1023,1021,1018,10,4,2,16,10,NA,0,6,"",292
"26",1996-07-26,22,17,13,14,13,12,94,81,57,1024,1023,1021,8,5,3,10,5,NA,0,4,"",40
"27",1996-07-27,25,18,11,17,14,11,100,77,54,1021,1019,1018,10,6,2,16,5,NA,0,5,"Fog",293
"28",1996-07-28,24,19,14,15,13,11,100,73,50,1020,1017,1000,10,8,4,16,8,NA,0,4,"",45
