"","CET","Max.TemperatureC","Mean.TemperatureC","Min.TemperatureC","Dew.PointC","MeanDew.PointC","Min.DewpointC","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressurehPa","Mean.Sea.Level.PressurehPa","Min.Sea.Level.PressurehPa","Max.VisibilityKm","Mean.VisibilityKm","Min.VisibilitykM","Max.Wind.SpeedKm.h","Mean.Wind.SpeedKm.h","Max.Gust.SpeedKm.h","Precipitationmm","CloudCover","Events","WindDirDegrees"
"1",1996-07-01,17,13,10,10,8,5,94,74,45,1011,1009,1008,10,9,4,35,19,NA,0,6,"Rain",240
"2",1996-07-02,14,11,8,10,8,7,94,80,67,1013,1011,1008,10,10,7,23,13,NA,0,6,"Rain",245
"3",1996-07-03,22,16,10,12,8,5,94,63,38,1014,1012,1010,10,10,5,32,11,NA,0,5,"Rain",200
"4",1996-07-04,19,17,14,14,13,11,94,82,60,1013,1010,1008,10,8,3,39,23,NA,0,6,"Rain",222
"5",1996-07-05,17,14,12,15,13,10,94,89,82,1013,1009,1005,10,9,5,24,13,NA,0,6,"Rain",215
"6",1996-07-06,15,13,10,9,8,6,88,77,59,1011,1009,1007,10,9,5,27,13,45,0,6,"Rain-Thunderstorm",254
"7",1996-07-07,17,12,7,10,7,6,93,76,52,1011,1008,1006,10,10,10,14,5,NA,0,6,"Rain",31
"8",1996-07-08,16,13,10,8,6,3,87,67,45,1022,1014,1007,10,8,4,24,16,45,0,6,"Rain",331
"9",1996-07-09,17,12,8,11,7,4,82,71,48,1024,1023,1022,10,10,9,27,11,NA,0,6,"Rain",262
"10",1996-07-10,17,14,12,12,10,9,94,79,59,1024,1022,1020,10,9,3,21,13,NA,0,6,"",303
"11",1996-07-11,23,14,7,13,10,6,94,70,47,1025,1023,1021,10,9,2,11,5,NA,0,4,"",311
"12",1996-07-12,25,20,15,14,12,10,88,62,41,1020,1019,1018,10,10,9,19,8,42,0,4,"",274
"13",1996-07-13,20,16,12,13,12,11,94,70,56,1025,1022,1014,10,9,4,21,11,NA,0,5,"",263
"14",1996-07-14,24,18,13,14,13,11,88,69,53,1027,1026,1025,10,9,6,16,8,NA,0,2,"",259
"15",1996-07-15,23,19,16,15,13,8,88,69,50,1027,1026,1025,10,6,1,24,14,NA,0,4,"",22
"16",1996-07-16,22,16,10,8,6,4,76,54,33,1029,1028,1027,10,10,10,24,19,NA,0,3,"",39
"17",1996-07-17,24,17,10,7,6,4,76,49,31,1028,1026,1024,10,10,10,24,16,NA,0,NA,"",37
