"","CET","Max.TemperatureC","Mean.TemperatureC","Min.TemperatureC","Dew.PointC","MeanDew.PointC","Min.DewpointC","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressurehPa","Mean.Sea.Level.PressurehPa","Min.Sea.Level.PressurehPa","Max.VisibilityKm","Mean.VisibilityKm","Min.VisibilitykM","Max.Wind.SpeedKm.h","Mean.Wind.SpeedKm.h","Max.Gust.SpeedKm.h","Precipitationmm","CloudCover","Events","WindDirDegrees"
"1",1996-07-01,20,17,13,11,8,5,82,60,43,1012,1010,1009,10,10,10,35,23,NA,0,6,"Rain",269
"2",1996-07-02,20,15,10,9,7,5,87,58,40,1013,1012,1010,10,10,10,26,16,NA,0,6,"",266
"3",1996-07-03,20,15,10,16,11,7,94,75,49,1013,1010,1007,10,9,4,37,14,NA,0,6,"Rain",203
"4",1996-07-04,23,19,15,16,12,7,94,69,36,1012,1010,1007,10,10,6,42,27,NA,0,5,"Rain",240
"5",1996-07-05,17,14,13,15,13,10,100,88,68,1012,1009,1007,10,8,3,23,14,NA,0,6,"Rain",292
"6",1996-07-06,18,14,10,11,9,6,94,71,45,1011,1010,1008,10,10,9,27,14,NA,0,4,"Rain",272
"7",1996-07-07,17,13,10,12,10,8,94,78,55,1011,1008,1006,10,10,10,27,6,NA,0,6,"Rain",26
"8",1996-07-08,20,15,10,11,9,7,94,69,46,1024,1018,1011,10,10,8,29,19,NA,0,4,"",326
"9",1996-07-09,21,14,9,12,9,8,93,69,43,1026,1025,1024,10,10,9,26,14,NA,0,4,"Fog",280
"10",1996-07-10,22,18,15,14,12,9,94,68,46,1025,1024,1023,10,10,9,26,16,NA,0,5,"Rain",331
"11",1996-07-11,25,18,12,13,12,10,94,66,44,1025,1024,1021,10,10,9,11,6,NA,0,2,"",204
"12",1996-07-12,23,19,15,15,13,11,94,67,50,1021,1020,1019,10,9,6,23,11,NA,0,4,"",320
"13",1996-07-13,27,20,13,14,13,11,94,65,37,1024,1022,1021,10,10,8,16,10,NA,0,4,"",272
"14",1996-07-14,25,20,15,16,14,14,94,71,50,1027,1026,1024,10,10,10,16,10,NA,0,4,"",330
"15",1996-07-15,27,22,18,17,15,10,88,66,42,1027,1026,1024,10,9,6,27,14,NA,0,5,"",37
"16",1996-07-16,24,18,13,11,9,8,82,54,36,1028,1027,1025,10,10,10,26,21,39,0,1,"",50
"17",1996-07-17,26,19,13,9,8,7,72,51,32,1026,1024,1022,NA,NA,NA,26,19,NA,0,NA,"",52
"18",1996-07-18,26,19,13,9,7,3,72,44,23,1024,1024,1023,NA,NA,NA,24,18,NA,0,NA,"",47
"19",1996-07-19,27,19,12,10,8,5,82,50,26,1025,1024,1022,NA,NA,NA,16,13,NA,0,NA,"",51
"20",1996-07-20,28,21,14,9,7,4,72,40,21,1024,1023,1022,NA,NA,NA,16,8,NA,0,NA,"",76
"21",1996-07-21,30,21,12,8,6,3,72,36,19,1024,1022,1020,NA,NA,NA,13,6,NA,0,NA,"",139
"22",1996-07-22,32,23,15,10,6,1,55,33,14,1021,1017,1013,NA,NA,NA,21,11,NA,0,NA,"",130
"23",1996-07-23,30,26,21,15,11,7,61,42,25,1013,1012,1011,NA,NA,NA,34,19,45,0,NA,"",239
"24",1996-07-24,24,19,15,13,11,9,82,58,38,1019,1016,1013,10,10,10,32,21,48,0,4,"",307
"25",1996-07-25,24,18,12,12,10,9,88,60,41,1023,1021,1020,10,10,10,23,13,NA,0,2,"",11
"26",1996-07-26,28,20,13,13,11,9,88,59,30,1023,1021,1018,10,9,6,16,13,NA,0,2,"",55
"27",1996-07-27,30,23,16,15,11,5,77,50,22,1019,1018,1016,9,8,8,23,13,NA,0,4,"",14
"28",1996-07-28,28,23,18,15,13,9,83,57,30,1019,1017,1016,10,10,9,23,13,NA,0,3,"",349
"29",1996-07-29,27,21,16,15,13,10,88,59,34,1018,1016,1013,10,10,10,26,10,29,0,5,"",265
"30",1996-07-30,26,20,15,15,13,12,94,68,42,1019,1017,1015,10,10,10,21,11,NA,0,4,"",297
"31",1996-07-31,28,21,14,14,12,8,94,60,28,1019,1017,1016,10,10,10,23,10,NA,0,2,"",282
"32",1996-08-01,26,21,17,15,12,10,83,59,39,1020,1017,1017,10,10,10,26,10,NA,0,6,"",325
"33",1996-08-02,25,19,14,12,10,7,77,54,34,1024,1022,1020,10,10,10,24,11,NA,0,4,"",330
"34",1996-08-03,26,21,16,11,8,5,68,47,29,1026,1025,1024,10,10,10,21,13,NA,0,2,"",30
"35",1996-08-04,27,20,13,9,6,4,63,41,24,1025,1021,1016,10,10,10,19,13,NA,0,1,"",67
"36",1996-08-05,29,22,16,11,9,6,63,42,25,1016,1012,1008,10,10,10,34,11,NA,0,6,"Rain",108
"37",1996-08-06,23,20,18,19,14,9,88,73,52,1016,1012,1010,10,9,3,37,19,42,0,5,"Rain",238
"38",1996-08-07,24,17,10,10,8,3,88,54,27,1019,1018,1016,10,10,10,23,13,NA,0,2,"",285
"39",1996-08-08,28,19,11,10,8,2,88,51,20,1018,1016,1013,10,10,10,13,8,NA,0,3,"",360
"40",1996-08-09,28,21,15,14,11,7,77,52,32,1015,1013,1010,NA,NA,NA,26,10,NA,0,NA,"",211
"41",1996-08-10,22,19,17,17,15,13,94,80,60,1011,1009,1007,10,9,2,21,11,NA,0,6,"Rain-Thunderstorm",209
"42",1996-08-11,22,18,15,16,14,9,94,78,56,1008,1006,1004,10,10,6,29,19,NA,0,5,"Rain",229
"43",1996-08-12,19,17,14,15,13,11,94,85,72,1013,1009,1007,10,10,6,21,16,NA,0,5,"Rain",270
"44",1996-08-13,18,17,15,15,13,13,94,83,73,1016,1013,1012,10,8,4,32,18,50,0,6,"Rain",302
"45",1996-08-14,22,19,17,15,14,13,83,75,57,1019,1017,1016,10,9,6,19,14,NA,0,6,"",342
"46",1996-08-15,25,20,16,15,13,11,88,70,44,1021,1020,1019,10,8,4,19,11,NA,0,4,"",38
"47",1996-08-16,26,20,14,15,12,9,94,66,34,1022,1021,1020,10,6,3,16,8,NA,0,1,"Fog",62
"48",1996-08-17,27,20,13,14,12,10,94,60,34,1023,1022,1021,10,10,9,14,6,NA,0,1,"",65
"49",1996-08-18,29,21,14,14,12,7,88,55,25,1021,1019,1016,10,10,10,16,8,NA,0,1,"",59
"50",1996-08-19,30,22,15,15,12,10,88,52,31,1016,1014,1011,10,10,10,13,8,NA,0,1,"",85
"51",1996-08-20,26,21,16,19,15,11,94,72,47,1013,1012,1011,10,9,6,24,10,NA,0,6,"Rain-Thunderstorm",186
"52",1996-08-21,25,21,17,18,16,14,94,82,53,1013,1012,1011,10,7,3,23,8,32,0,6,"Rain-Thunderstorm",332
"53",1996-08-22,23,19,15,17,13,11,94,77,47,1016,1014,1013,10,10,6,14,8,NA,0,5,"Rain",88
"54",1996-08-23,25,20,15,15,12,6,88,67,31,1013,1010,1008,10,10,10,35,18,53,0,5,"Rain",201
"55",1996-08-24,22,18,14,15,12,10,94,71,50,1011,1010,1008,10,10,6,37,23,NA,0,5,"Rain",237
"56",1996-08-25,22,17,13,14,12,9,94,74,46,1014,1013,1011,10,10,10,26,18,NA,0,3,"",227
"57",1996-08-26,22,17,13,13,11,8,94,69,43,1016,1014,1013,10,10,10,14,6,NA,0,3,"",267
"58",1996-08-27,20,16,12,13,12,9,94,78,52,1017,1016,1015,10,10,6,23,8,NA,0,5,"Rain-Thunderstorm",357
"59",1996-08-28,21,16,11,12,11,7,94,76,43,1018,1016,1015,10,10,8,24,10,NA,0,4,"Rain",292
"60",1996-08-29,17,14,12,13,12,10,94,85,72,1016,1015,1014,10,9,4,32,16,NA,0,6,"Rain",276
"61",1996-08-30,21,17,13,12,11,8,88,71,49,1023,1019,1016,10,10,10,26,16,NA,0,5,"Rain",306
"62",1996-08-31,21,16,11,12,10,7,88,70,43,1027,1025,1024,10,10,9,19,8,NA,0,5,"",30
"63",1996-09-01,19,14,9,11,8,5,94,68,40,1029,1027,1026,10,10,10,19,10,NA,0,3,"",47
"64",1996-09-02,21,16,10,10,8,6,88,66,43,1027,1025,1023,10,10,10,24,13,37,0,3,"",42
"65",1996-09-03,22,16,11,10,9,7,82,63,46,1024,1020,1018,10,10,8,27,16,NA,0,2,"",38
"66",1996-09-04,25,19,13,13,11,10,82,65,44,1019,1018,1016,9,8,7,24,19,40,0,0,"",38
"67",1996-09-05,22,17,12,13,11,8,94,70,43,1018,1017,1016,10,8,6,21,18,NA,0,2,"",38
"68",1996-09-06,22,16,11,11,7,2,82,57,27,1021,1019,1018,10,10,10,16,13,NA,0,2,"",40
"69",1996-09-07,21,16,10,10,7,3,94,62,33,1024,1022,1021,10,9,6,21,11,NA,0,1,"",54
"70",1996-09-08,19,13,8,6,5,3,76,56,37,1024,1023,1021,10,10,10,26,14,NA,0,1,"",50
"71",1996-09-09,20,15,10,10,7,5,88,63,37,1023,1022,1020,10,10,10,23,14,NA,0,2,"",37
"72",1996-09-10,20,17,13,12,11,8,94,74,52,1022,1021,1019,10,8,4,19,11,NA,0,5,"",30
"73",1996-09-11,19,14,11,11,9,6,82,70,45,1020,1017,1015,10,10,9,16,10,NA,0,6,"",24
"74",1996-09-12,18,12,7,12,8,5,93,74,45,1015,1011,1009,10,10,7,29,13,42,0,5,"Rain",320
"75",1996-09-13,16,12,8,7,6,4,82,61,45,1019,1015,1011,10,10,10,29,21,NA,0,5,"",340
"76",1996-09-14,18,14,11,9,7,6,77,65,49,1024,1022,1019,10,10,10,19,13,NA,0,5,"",3
"77",1996-09-15,20,13,7,10,8,6,100,73,43,1025,1024,1023,10,10,10,19,11,NA,0,3,"",41
"78",1996-09-16,21,13,6,8,6,4,93,65,33,1024,1021,1017,10,10,10,21,11,NA,0,1,"",68
"79",1996-09-17,20,13,7,6,4,2,81,52,30,1017,1014,1011,NA,NA,NA,26,14,42,0,NA,"",78
"80",1996-09-18,18,12,6,5,3,2,81,57,37,1013,1009,1006,10,10,10,23,18,NA,0,3,"",64
"81",1996-09-19,16,12,9,15,9,5,100,88,62,1006,1003,1001,10,6,3,24,14,40,0,6,"Rain",70
"82",1996-09-20,15,12,10,11,9,9,94,87,67,1005,1004,1004,10,9,6,14,10,NA,0,6,"Rain",152
"83",1996-09-21,16,11,7,11,9,6,100,84,59,1006,1004,1003,10,6,2,23,10,NA,0,3,"Fog",43
"84",1996-09-22,12,11,10,9,8,7,88,82,72,1010,1008,1006,9,5,4,19,14,NA,0,6,"",21
"85",1996-09-23,14,12,10,10,8,7,94,82,67,1011,1009,1008,10,8,5,19,10,NA,0,6,"Rain",285
"86",1996-09-24,18,13,9,10,9,7,100,81,49,1012,1011,1011,10,8,4,13,8,NA,0,5,"",274
