"","CET","Max.TemperatureC","Mean.TemperatureC","Min.TemperatureC","Dew.PointC","MeanDew.PointC","Min.DewpointC","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressurehPa","Mean.Sea.Level.PressurehPa","Min.Sea.Level.PressurehPa","Max.VisibilityKm","Mean.VisibilityKm","Min.VisibilitykM","Max.Wind.SpeedKm.h","Mean.Wind.SpeedKm.h","Max.Gust.SpeedKm.h","Precipitationmm","CloudCover","Events","WindDirDegrees"
"1",1996-07-01,19,16,12,14,12,10,94,81,60,1014,1011,1010,10,10,10,26,13,39,0,5,"Rain",239
"2",1996-07-02,17,13,11,11,11,9,94,81,68,1015,1013,1011,10,10,10,13,6,NA,0,6,"Rain",225
"3",1996-07-03,23,16,8,11,9,6,100,67,33,1016,1015,1013,10,10,7,23,8,NA,0,2,"Fog",198
"4",1996-07-04,23,18,14,15,13,11,82,69,57,1016,1015,1014,10,10,10,24,11,50,0,5,"",211
"5",1996-07-05,24,19,15,17,15,12,94,80,61,1016,1012,1008,10,9,5,21,8,47,0,5,"Rain-Thunderstorm",223
"6",1996-07-06,17,16,13,13,12,10,94,82,68,1012,1010,1008,10,10,9,23,11,NA,0,6,"Rain",219
"7",1996-07-07,19,14,11,12,11,10,100,80,59,1012,1006,1001,10,10,7,19,8,NA,0,6,"Rain",14
"8",1996-07-08,13,11,10,12,11,9,100,96,88,1021,1011,1001,10,7,4,19,8,NA,0,7,"Rain-Thunderstorm",278
"9",1996-07-09,16,12,8,11,9,7,100,79,55,1026,1025,1022,10,10,10,21,10,42,0,5,"Rain",237
"10",1996-07-10,16,13,12,14,12,10,94,89,77,1025,1023,1023,10,10,8,21,8,NA,0,6,"Rain",225
"11",1996-07-11,22,17,12,13,12,9,100,72,46,1024,1023,1021,10,8,1,11,5,NA,0,5,"Fog",45
"12",1996-07-12,26,18,10,14,12,10,100,66,36,1021,1020,1018,10,10,10,6,2,NA,0,1,"",299
"13",1996-07-13,28,20,13,16,13,11,94,64,37,1024,1022,1021,10,10,6,8,3,NA,0,3,"Fog",9
"14",1996-07-14,29,22,15,17,15,13,88,66,40,1027,1026,1024,10,10,10,8,3,NA,0,1,"Fog",346
"15",1996-07-15,28,21,15,18,16,14,94,67,45,1025,1023,1022,10,10,10,19,5,NA,0,2,"",31
"16",1996-07-16,22,19,16,17,14,10,83,68,53,1025,1024,1023,10,10,10,19,11,NA,0,5,"",42
"17",1996-07-17,23,17,10,12,9,8,87,62,38,1025,1023,1021,10,10,10,19,8,NA,0,1,"",30
"18",1996-07-18,24,17,9,12,9,6,88,57,34,1023,1022,1020,10,10,10,19,6,NA,0,1,"",35
"19",1996-07-19,22,16,10,11,8,6,82,57,40,1024,1023,1023,10,10,10,21,10,NA,0,3,"",31
"20",1996-07-20,22,16,9,8,7,4,82,55,31,1024,1023,1023,10,10,10,21,8,NA,0,1,"",35
"21",1996-07-21,23,14,7,8,7,5,87,55,33,1024,1024,1023,10,10,10,14,6,NA,0,1,"",40
"22",1996-07-22,26,17,8,10,8,6,87,55,30,1024,1022,1020,NA,NA,NA,11,5,NA,0,NA,"",27
"23",1996-07-23,29,20,11,18,13,7,88,62,40,1020,1018,1015,10,10,10,27,5,47,0,6,"Rain-Thunderstorm",217
"24",1996-07-24,26,22,18,17,14,10,94,67,44,1017,1015,1013,10,10,5,26,11,48,0,4,"Thunderstorm",259
"25",1996-07-25,24,19,14,11,11,8,82,58,38,1022,1020,1017,10,10,10,21,10,NA,0,2,"",297
"26",1996-07-26,25,18,11,13,12,9,94,68,47,1022,1021,1019,10,9,7,23,8,NA,0,1,"",31
"27",1996-07-27,28,20,12,17,14,11,94,73,48,1020,1019,1017,10,9,7,13,5,NA,0,5,"",265
"28",1996-07-28,28,22,17,18,17,15,94,80,45,1020,1018,1016,10,10,10,23,6,NA,0,5,"Rain-Thunderstorm",132
"29",1996-07-29,29,22,15,17,15,12,100,72,35,1020,1017,1014,10,9,1,8,3,NA,0,3,"Fog",63
"30",1996-07-30,24,20,17,17,15,11,94,76,47,1020,1016,1014,10,10,8,19,6,NA,0,5,"Rain-Thunderstorm",151
"31",1996-07-31,28,21,15,16,13,11,88,65,37,1020,1019,1017,10,10,10,10,5,NA,0,2,"",88
"32",1996-08-01,31,22,14,17,14,12,94,64,31,1019,1018,1016,10,10,10,16,5,NA,0,1,"Fog",353
"33",1996-08-02,27,22,17,18,17,15,94,78,51,1023,1021,1018,10,9,5,24,8,NA,0,5,"Rain-Thunderstorm",230
"34",1996-08-03,18,16,12,16,14,11,100,92,83,1025,1024,1023,10,9,6,14,3,NA,0,6,"Fog-Rain",19
"35",1996-08-04,21,16,10,14,12,10,100,81,56,1025,1022,1019,10,8,1,21,8,NA,0,4,"Fog",33
"36",1996-08-05,23,17,10,15,13,9,94,79,57,1018,1015,1013,10,9,7,10,5,NA,0,5,"",15
"37",1996-08-06,26,20,15,18,16,14,94,78,54,1018,1016,1014,10,9,4,8,3,NA,0,6,"Rain",262
"38",1996-08-07,19,18,17,17,17,16,100,92,88,1019,1019,1017,10,7,3,10,5,NA,0,6,"Rain",191
"39",1996-08-08,25,20,15,17,16,13,100,78,53,1019,1017,1016,10,8,0,13,3,NA,0,4,"Fog",18
"40",1996-08-09,26,19,12,17,14,11,100,73,44,1018,1016,1015,10,9,5,6,2,NA,0,4,"Fog",16
"41",1996-08-10,28,21,15,17,15,13,94,72,39,1016,1013,1009,10,9,4,24,5,48,0,6,"Rain-Thunderstorm",315
"42",1996-08-11,20,18,16,16,15,13,94,86,73,1013,1011,1009,10,10,5,14,8,NA,0,6,"Rain-Thunderstorm",142
"43",1996-08-12,18,16,14,15,13,11,100,87,68,1014,1012,1010,10,10,5,14,8,NA,0,6,"Rain",219
"44",1996-08-13,19,16,13,13,12,11,94,84,68,1014,1014,1013,10,10,6,19,8,NA,0,6,"Rain-Thunderstorm",246
"45",1996-08-14,20,17,14,15,14,12,94,85,73,1017,1016,1015,10,9,5,26,8,NA,0,6,"Rain",259
"46",1996-08-15,22,18,15,15,14,13,94,78,60,1021,1019,1017,10,9,6,14,3,NA,0,5,"",33
"47",1996-08-16,23,17,11,16,13,11,100,79,50,1022,1021,1020,10,6,0,14,5,NA,0,3,"Fog",43
"48",1996-08-17,25,18,12,15,13,11,100,73,41,1022,1021,1020,10,8,3,16,6,NA,0,2,"Fog",45
"49",1996-08-18,24,18,12,14,12,11,94,68,44,1021,1020,1018,10,10,8,24,8,37,0,1,"",39
"50",1996-08-19,26,19,12,17,14,11,94,74,51,1018,1017,1015,10,10,10,10,3,NA,0,1,"",20
"51",1996-08-20,28,21,14,16,14,13,94,70,42,1017,1015,1014,10,9,4,13,5,32,0,3,"Fog",233
"52",1996-08-21,23,19,16,16,14,13,88,74,57,1016,1015,1013,10,10,10,11,5,NA,0,6,"Rain-Thunderstorm",244
"53",1996-08-22,19,17,16,16,15,14,94,86,77,1016,1014,1012,10,10,10,16,5,NA,0,6,"",239
"54",1996-08-23,26,20,14,16,15,14,100,76,47,1016,1014,1012,10,9,3,10,3,NA,0,3,"Fog",115
"55",1996-08-24,18,17,14,15,14,13,94,83,77,1016,1015,1014,10,10,10,11,5,NA,0,5,"Rain",162
"56",1996-08-25,20,16,12,15,13,11,100,82,60,1017,1016,1015,10,10,6,13,5,NA,0,5,"Fog-Rain",225
"57",1996-08-26,21,16,11,14,12,10,100,80,49,1017,1016,1016,10,10,2,16,3,NA,0,5,"Fog",86
"58",1996-08-27,22,17,13,15,13,12,94,79,56,1018,1016,1015,10,9,5,13,5,NA,0,6,"Fog-Rain",49
"59",1996-08-28,18,14,10,13,11,8,94,80,59,1018,1016,1015,10,9,7,21,10,34,0,4,"Rain",268
"60",1996-08-29,20,14,8,10,9,7,94,73,49,1018,1016,1015,10,10,10,23,8,NA,0,2,"",238
"61",1996-08-30,20,14,9,10,9,8,93,71,49,1022,1020,1018,10,10,10,19,6,NA,0,3,"",252
"62",1996-08-31,18,13,9,12,11,8,94,82,64,1024,1023,1022,10,9,5,16,5,NA,0,6,"",346
"63",1996-09-01,14,12,10,11,10,9,94,87,77,1025,1025,1024,10,10,7,13,6,NA,0,6,"Rain",3
"64",1996-09-02,16,13,10,11,9,7,94,78,59,1025,1022,1020,10,10,10,34,13,52,0,6,"Rain",40
"65",1996-09-03,17,13,10,13,10,8,88,77,72,1020,1017,1016,10,10,10,19,8,NA,0,7,"",52
"66",1996-09-04,20,15,10,14,12,9,94,79,64,1017,1016,1015,10,9,6,14,8,NA,0,5,"",47
"67",1996-09-05,20,14,9,14,11,9,100,81,49,1017,1016,1012,10,5,0,13,5,NA,0,2,"Fog",63
"68",1996-09-06,20,13,7,10,7,4,94,64,40,1018,1017,1016,10,10,10,13,5,NA,0,2,"",317
"69",1996-09-07,15,11,7,6,4,2,87,66,42,1023,1021,1018,10,10,10,23,8,NA,0,2,"",48
"70",1996-09-08,15,9,3,7,4,2,100,70,42,1023,1021,1019,10,10,10,29,8,NA,0,2,"Fog",31
"71",1996-09-09,16,10,4,6,4,3,93,68,45,1020,1019,1018,10,10,10,21,8,NA,0,2,"",37
"72",1996-09-10,19,10,2,6,4,2,100,70,37,1021,1019,1017,10,10,10,10,3,NA,0,1,"",56
"73",1996-09-11,20,12,4,9,6,3,93,71,40,1018,1015,1012,10,10,8,8,3,NA,0,1,"Fog",345
"74",1996-09-12,18,12,7,9,7,6,94,73,45,1012,1008,1005,10,9,7,16,6,NA,0,4,"Fog-Rain",284
"75",1996-09-13,11,9,7,9,7,5,100,87,76,1015,1010,1005,10,10,6,24,16,37,0,5,"Rain",256
"76",1996-09-14,13,11,9,10,8,7,94,87,77,1022,1019,1015,10,10,8,21,11,NA,0,6,"Rain",238
"77",1996-09-15,16,10,5,10,8,4,100,81,55,1023,1022,1021,10,9,2,14,6,NA,0,5,"Fog",39
"78",1996-09-16,16,11,7,8,6,4,93,69,45,1023,1021,1019,10,10,7,27,11,NA,0,2,"",39
"79",1996-09-17,15,9,3,7,5,2,100,73,51,1019,1015,1013,10,10,9,19,8,NA,0,1,"Fog",27
"80",1996-09-18,10,7,4,7,5,2,93,84,76,1013,1011,1009,10,7,5,16,8,NA,0,5,"Rain",18
"81",1996-09-19,16,12,8,10,8,7,93,83,68,1009,1007,1004,8,6,5,21,8,37,0,6,"Fog",51
"82",1996-09-20,15,12,9,11,9,8,100,89,72,1006,1006,1005,10,7,3,8,3,NA,0,6,"Fog-Rain",284
"83",1996-09-21,15,11,7,11,9,6,100,90,72,1006,1004,1003,10,6,3,10,3,NA,0,6,"Fog-Rain",40
"84",1996-09-22,13,10,8,11,9,8,100,92,82,1005,1004,1003,9,5,3,11,5,NA,0,6,"Rain",3
"85",1996-09-23,11,9,8,11,9,6,100,96,87,1011,1007,1005,9,5,3,13,5,NA,0,6,"Rain",275
"86",1996-09-24,12,10,8,9,7,7,93,88,76,1013,1012,1011,10,8,6,16,5,NA,0,6,"Rain-Thunderstorm",245
"87",1996-09-25,15,10,5,9,7,5,100,87,59,1015,1013,1012,10,6,0,8,2,NA,0,5,"Fog",336
"88",1996-09-26,19,11,3,10,7,3,100,83,49,1020,1019,1016,10,5,0,11,2,NA,0,3,"Fog",270
"89",1996-09-27,15,9,3,11,8,3,100,85,67,1020,1018,1017,10,7,0,19,6,NA,0,5,"Fog-Rain",203
"90",1996-09-28,16,12,7,11,9,6,100,80,52,1028,1025,1021,10,10,10,19,6,NA,0,5,"Rain",297
"91",1996-09-29,19,11,4,11,8,4,100,86,60,1028,1026,1024,10,4,0,13,3,NA,0,4,"Fog",188
"92",1996-09-30,23,14,7,11,9,6,93,72,41,1023,1019,1013,10,10,10,11,5,NA,0,1,"Fog",128
"93",1996-10-01,22,14,7,13,9,7,100,81,46,1013,1008,1004,10,10,5,34,6,42,0,5,"Fog-Rain",257
"94",1996-10-02,12,9,6,9,7,6,100,89,71,1023,1017,1014,10,9,0,19,8,NA,0,6,"Fog-Rain",260
"95",1996-10-03,14,9,4,9,6,4,100,86,55,1028,1026,1023,10,4,0,16,3,NA,0,3,"Fog",33
"96",1996-10-04,15,9,3,9,6,2,100,83,59,1025,1022,1017,10,5,0,11,5,NA,0,4,"Fog",204
"97",1996-10-05,11,9,7,10,8,6,100,92,87,1017,1015,1013,10,9,5,13,5,NA,0,6,"Rain",100
"98",1996-10-06,11,8,6,7,6,5,100,84,71,1020,1018,1017,10,9,7,21,8,NA,0,6,"",36
"99",1996-10-07,12,10,9,9,7,6,94,83,71,1019,1018,1017,10,9,5,16,8,NA,0,6,"",28
"100",1996-10-08,12,11,10,11,11,9,100,97,88,1018,1017,1016,5,3,1,8,2,NA,0,6,"",349
"101",1996-10-09,13,11,10,11,11,10,100,97,88,1021,1019,1018,5,3,2,3,2,NA,0,7,"",330
"102",1996-10-10,14,12,10,11,10,9,100,90,72,1022,1021,1020,10,6,1,13,3,NA,0,6,"Fog-Rain",33
"103",1996-10-11,14,11,7,10,9,6,94,86,67,1022,1021,1020,10,5,3,11,5,NA,0,6,"Fog",25
"104",1996-10-12,19,12,6,12,8,5,100,89,60,1020,1018,1016,8,2,0,6,2,NA,0,3,"Fog",39
"105",1996-10-13,18,12,6,11,7,5,100,85,45,1016,1014,1012,10,4,0,11,2,NA,0,2,"Fog",38
"106",1996-10-14,19,11,3,10,7,3,100,81,46,1012,1010,1009,10,2,0,10,2,NA,0,1,"Fog",17
"107",1996-10-15,14,10,6,11,9,5,100,94,82,1010,1009,1008,7,5,4,8,3,NA,0,5,"Fog-Rain",1
"108",1996-10-16,12,10,8,12,11,8,100,99,94,1010,1007,1006,10,6,2,19,5,NA,0,7,"Rain",285
"109",1996-10-17,9,7,4,8,6,4,100,93,82,1013,1011,1010,10,8,5,8,3,NA,0,6,"Fog-Rain",102
"110",1996-10-18,15,9,4,8,6,4,100,85,54,1017,1015,1013,10,5,0,10,3,NA,0,4,"Fog-Rain",96
"111",1996-10-19,12,9,7,10,8,5,94,92,87,1028,1020,1016,10,10,7,24,13,NA,0,6,"Rain",232
"112",1996-10-20,10,8,5,8,7,5,100,88,76,1028,1026,1024,10,10,10,13,6,NA,0,5,"Fog-Rain",164
"113",1996-10-21,13,11,9,12,10,7,100,93,87,1024,1022,1020,10,9,4,24,10,NA,0,6,"Fog-Rain",236
"114",1996-10-22,13,10,6,10,8,5,100,95,77,1026,1025,1024,10,5,0,10,2,NA,0,5,"Fog",7
"115",1996-10-23,12,7,3,7,5,2,100,90,72,1026,1025,1024,10,7,5,13,5,NA,0,3,"Fog",19
"116",1996-10-24,9,4,1,7,5,1,100,94,82,1026,1025,1023,10,4,1,11,5,NA,0,6,"Fog",25
"117",1996-10-25,12,8,5,9,7,5,100,94,82,1026,1024,1023,5,3,1,13,3,NA,0,7,"Fog-Rain",300
"118",1996-10-26,15,11,6,11,9,6,100,89,67,1028,1027,1025,10,7,3,11,2,NA,0,5,"Fog-Rain",175
